ECO_ID,m,p3AET,Tg,Tcc,REALM,BIOME,BIOME_NAME,ECO_NAME,altbiom2023,wet,vegcover,woodycover,treecover,evergreen,altbiome
30116,1.081747174,286.83,22.41710186,17.13480663,AT,1,Tropical and subtropical moist broadleaf forests,KwaZulu-Cape coastal forest mosaic,9,0,100,95,95,1,111
30117,2.050983667,313.73,22.97010422,18.07315826,AT,1,Tropical and subtropical moist broadleaf forests,Madagascar lowland forests,9,0,100,95,95,1,111
30118,1.404132605,335.18,23.16358566,17.25016212,AT,1,Tropical and subtropical moist broadleaf forests,Madagascar subhumid forests,9,0,100,95,95,1,111
30119,0.755107105,326.76,24.7362175,18.18524265,AT,1,Tropical and subtropical moist broadleaf forests,Maputaland coastal forest mosaic,8.2,0,100,95,95,1,111
30120,2.071405649,273.97,23.18664551,17.99110603,AT,1,Tropical and subtropical moist broadleaf forests,Mascarene forests,9,0,100,95,95,1,111
30121,3.1881423,251.29,20.42034912,17.84949112,AT,1,Tropical and subtropical moist broadleaf forests,Mount Cameroon and Bioko montane forests,4.3,0,100,95,95,1,112
30122,2.410590172,322.88,26.99647903,25.09531212,AT,1,Tropical and subtropical moist broadleaf forests,Niger Delta swamp forests,9,1,100,95,95,1,1111
30123,1.147661328,318.98,27.16731548,24.26668644,AT,1,Tropical and subtropical moist broadleaf forests,Nigerian lowland forests,9,0,100,95,95,1,111
30124,1.463802814,317.89,24.40338421,23.37688828,AT,1,Tropical and subtropical moist broadleaf forests,Northeastern Congolian lowland forests,9,0,100,95,95,1,111
30125,0.766806662,299.29,27.37432861,24.52650642,AT,1,Tropical and subtropical moist broadleaf forests,Northern Zanzibar-Inhambane coastal forest mosaic,8.2,0,100,95,95,1,111
30126,1.392484903,316.14,24.44265461,22.62681103,AT,1,Tropical and subtropical moist broadleaf forests,Northwestern Congolian lowland forests,9,0,100,95,95,1,111
30127,2.351800919,266.31,24.30421829,21.97332001,AT,1,Tropical and subtropical moist broadleaf forests,Sao Tome and Principe moist lowland forests,9,0,100,95,95,1,111
30128,0.789699823,335.60,25.83078861,21.17219067,AT,1,Tropical and subtropical moist broadleaf forests,Southern Zanzibar-Inhambane coastal forest mosaic,8.2,0,100,95,95,1,111
30129,1.420365512,331.30,25.25819206,24.16300678,AT,1,Tropical and subtropical moist broadleaf forests,Western Congolian swamp forests,9,1,100,95,95,1,1111
30130,1.846369505,351.64,25.89757919,24.135005,AT,1,Tropical and subtropical moist broadleaf forests,Western Guinean lowland forests,9,0,100,95,95,1,111
30201,0.331102103,214.43,24.56571198,21.1216507,AT,2,Tropical and subtropical dry broadleaf forests,Cape Verde Islands dry forests,8.1,0,99,90,60,0,114
30202,0.959647834,365.17,26.76613617,21.74705315,AT,2,Tropical and subtropical dry broadleaf forests,Madagascar dry deciduous forests,8.2,0,99,90,60,0,114
30203,0.754345566,312.95,21.53680229,13.76523954,AT,2,Tropical and subtropical dry broadleaf forests,Zambezian Cryptosepalum dry forests,8.2,0,99,90,60,0,114
30701,0.942257404,301.77,21.29872131,15.48585796,AT,7,"Tropical and subtropical grasslands, savannas, and",Angolan Miombo woodlands,8.2,0,99,25,25,0,210
30702,0.379315346,303.70,24.03834534,16.34535408,AT,7,"Tropical and subtropical grasslands, savannas, and",Angolan Mopane woodlands,8.1,0,99,25,25,0,210
30703,0.331516236,88.70,12.17551994,8.845919609,AT,7,"Tropical and subtropical grasslands, savannas, and",Ascension scrub and grasslands,8.1,0,99,25,0,0,410
30704,0.977602154,292.22,21.58630276,17.82785416,AT,7,"Tropical and subtropical grasslands, savannas, and",Central Zambezian Miombo woodlands,8.2,0,99,25,25,0,210
30705,0.558721125,334.67,27.66990852,24.49496031,AT,7,"Tropical and subtropical grasslands, savannas, and",East Sudanian savanna,8.2,0,99,10,10,0,410
30706,0.821960628,322.39,25.79833603,21.58571243,AT,7,"Tropical and subtropical grasslands, savannas, and",Eastern Miombo woodlands,8.2,0,99,25,25,0,210
30707,0.899296761,328.44,27.25191116,24.29667473,AT,7,"Tropical and subtropical grasslands, savannas, and",Guinean forest-savanna mosaic,8.2,0,99,10,10,0,410
