BPS_NAME,GROUPNAME,GROUPVEG,wet,vegcover,woodycover,treecover,ht,evergreen,needleevergreen,colddeciduous,NE,BE,DD,CD,NE0,BE0,DD0,CD0
Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,Quaking Aspen-Subalpine Fir-Douglas Fir-3,Hardwood-Conifer,0,100,85,85,25,0.5,1,1,1,0,0,1,0.5,0,0,0.5
Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - High Elevation,Quaking Aspen-Subalpine Fir-Douglas Fir-3,Hardwood-Conifer,0,100,85,85,25,0.5,1,1,1,0,0,1,0.5,0,0,0.5
Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - Low Elevation,Quaking Aspen-Subalpine Fir-Douglas Fir-3,Hardwood-Conifer,0,100,85,85,25,0.5,1,1,1,0,0,1,0.5,0,0,0.5
Inter-Mountain Basins Big Sagebrush Shrubland,Mountain Big Sage-Bitterbrush-3,Shrubland,0,25,25,0,3,,,,,,,,,,,
Inter-Mountain Basins Big Sagebrush Shrubland,Wyoming Big Sage-Rubber Rabbitbrush-4,Shrubland,0,25,25,0,3,,,,,,,,,,,
Inter-Mountain Basins Big Sagebrush Shrubland,Wyoming Big Sage-Spiny Hopsage-1,Shrubland,0,25,25,0,3,,,,,,,,,,,
Inter-Mountain Basins Big Sagebrush Shrubland - Basin Big Sagebrush,Basin Big Sage-Greasewood-4,Shrubland,0,25,25,0,3,,,,,,,,,,,
Inter-Mountain Basins Big Sagebrush Shrubland - Wyoming Big Sagebrush,Wyoming Big Sage-Indian Ricegrass-4,Shrubland,0,25,25,0,3,,,,,,,,,,,
Inter-Mountain Basins Big Sagebrush Steppe,Wyoming Big Sage-Wheatgrass-3,Shrubland,0,60,10,0,3,,,,,,,,,,,
Inter-Mountain Basins Big Sagebrush Steppe,Wyoming Big Sage-Wheatgrass-4,Shrubland,0,60,10,0,3,,,,,,,,,,,
Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,Curlleaf Mountain Mahogany-Mountain Big Sagebrush-3,Shrubland,0,99,60,25,10,,,,,,,,,,,
Inter-Mountain Basins Greasewood Flat,Greasewood-Shadscale-5,Shrubland,0,25,25,0,,,,,,,,,,,,
Inter-Mountain Basins Juniper Savanna,Western Juniper-Utah Juniper-3,Conifer,0,99,25,25,15,1,1,,1,0,0,0,1,0,0,0
Inter-Mountain Basins Mat Saltbush Shrubland,Mat Saltbush-5,Shrubland,0,25,25,0,1,,,,,,,,,,,
Inter-Mountain Basins Mixed Salt Desert Scrub,Shadscale-Winterfat-5,Shrubland,0,25,25,0,1,,,,,,,,,,,
Inter-Mountain Basins Mixed Salt Desert Scrub - North,Shadscale-Winterfat-5,Shrubland,0,25,25,0,1,,,,,,,,,,,
Inter-Mountain Basins Mixed Salt Desert Scrub - South,Shadscale-Winterfat-5,Shrubland,0,25,25,0,1,,,,,,,,,,,
Inter-Mountain Basins Montane Riparian Systems,Black Cottonwood-Narrowleaf Willow-3,Riparian,1,99,95,80,25,0,,1,0,0,0,1,0,0,0,1
Inter-Mountain Basins Montane Sagebrush Steppe,Mountain Sagebrush-Bluebunch Wheatgrass-Idaho Fescue-4,Shrubland,0,60,10,0,,,,,,,,,,,,
Inter-Mountain Basins Montane Sagebrush Steppe - Low Sagebrush,Low Sage-Black Sage-Silver Sage-5,Shrubland,0,60,10,0,,,,,,,,,,,,
Inter-Mountain Basins Montane Sagebrush Steppe - Mountain Big Sagebrush,Mountain Sagebrush-Bluebunch Wheatgrass-Idaho Fescue-4,Shrubland,0,60,10,0,,,,,,,,,,,,
Inter-Mountain Basins Semi-Desert Grassland,Indian Ricegrass-Threeawn-1,Grassland,0,60,0,0,,,,,,,,,,,,
Inter-Mountain Basins Semi-Desert Shrub-Steppe,Sand Sage-Jointfir-3,Shrubland,0,60,10,0,,,,,,,,,,,,
Inter-Mountain Basins Semi-Desert Shrub-Steppe,Spiny Hopsage-Jointfir-5,Shrubland,0,60,10,0,,,,,,,,,,,,
Inter-Mountain Basins Sparsely Vegetated Systems,Sparsely Vegetated,Sparse,0,1,0,0,,,,,,,,,,,,
Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,Limber Pine-Bristlecone Pine-3,Conifer,0,99,60,60,,1,1,,1,0,0,0,1,0,0,0
Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,Douglas Fir-Incense Cedar-1,Conifer,0,95,60,60,,1,1,,1,0,0,0,1,0,0,0
Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,Douglas Fir-Incense Cedar-1,Conifer,0,95,60,60,,1,1,,1,0,0,0,1,0,0,0
Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,Jeffery Pine-Roemers Fescue-Oatgrass-1,Conifer,0,95,60,10,25,1,1,,1,0,0,0,1,0,0,0
Laurentian Pine-Oak Barrens,White Oak-White Pine-Pennsylvania Sedge-1,Hardwood-Conifer,0,99,25,25,25,0.5,1,1,1,0,0,1,0.5,0,0,0.5
Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Northern White Cedar-5,Riparian,1,99,95,95,20,0.5,1,1,1,0,0,1,0.5,0,0,0.5
