VEGCODE,LEGCODE,COVERTYPE,wet,vegcover,woodycover,treecover,ht,evergreen,needleevergreen,colddeciduous,NE,BE,DD,CD,NE0,BE0,DD0,CD0
6123,6122/6123/6221/6222/6223/6224/6225/6228,SHRUB SWAMP/EMERGENT MARSH,1,99,25,0,3,0,1,1,0,0,0,1,0,0,0,1
6221,6122/6123/6221/6222/6223/6224/6225/6228,SHRUB SWAMP/EMERGENT MARSH,1,99,25,0,3,0,1,1,0,0,0,1,0,0,0,1
6222,6122/6123/6221/6222/6223/6224/6225/6228,SHRUB SWAMP/EMERGENT MARSH,1,99,25,0,3,0,1,1,0,0,0,1,0,0,0,1
6223,6122/6123/6221/6222/6223/6224/6225/6228,SHRUB SWAMP/EMERGENT MARSH,1,99,25,0,3,0,1,1,0,0,0,1,0,0,0,1
6224,6122/6123/6221/6222/6223/6224/6225/6228,SHRUB SWAMP/EMERGENT MARSH,1,99,25,0,3,0,1,1,0,0,0,1,0,0,0,1
6225,6122/6123/6221/6222/6223/6224/6225/6228,SHRUB SWAMP/EMERGENT MARSH,1,99,25,0,3,0,1,1,0,0,0,1,0,0,0,1
6228,6122/6123/6221/6222/6223/6224/6225/6228,SHRUB SWAMP/EMERGENT MARSH,1,99,25,0,3,0,1,1,0,0,0,1,0,0,0,1
6226,6226/6227,WET PRAIRIE,1,99,0,0,,,1,1,0,0,0,1,0,0,0,1
6227,6226/6227,WET PRAIRIE,1,99,0,0,,,1,1,0,0,0,1,0,0,0,1
72,72/73,SAND DUNE,0,60,10,0,,0.5,1,1,1,0,0,1,0.5,0,0,0.5
73,72/73,SAND DUNE,0,60,10,0,,0.5,1,1,1,0,0,1,0.5,0,0,0.5
72,72/73/74/741/742/743/744/745/746,SAND DUNE,0,60,10,0,,0.5,1,1,1,0,0,1,0.5,0,0,0.5
73,72/73/74/741/742/743/744/745/746,SAND DUNE,0,60,10,0,,0.5,1,1,1,0,0,1,0.5,0,0,0.5
Jul-72,72/73/74/741/742/743/744/745/746,SAND DUNE,0,60,10,0,,0.5,1,1,1,0,0,1,0.5,0,0,0.5
74,74/741/742/743/744/745/746,EXPOSED BEDROCK,0,0,0,0,,0,1,1,0,0,0,1,0,0,0,1
743,74/741/742/743/744/745/746,EXPOSED BEDROCK,0,0,0,0,,0,1,1,0,0,0,1,0,0,0,1
744,74/741/742/743/744/745/746,EXPOSED BEDROCK,0,0,0,0,,0,1,1,0,0,0,1,0,0,0,1
745,74/741/742/743/744/745/746,EXPOSED BEDROCK,0,0,0,0,,0,1,1,0,0,0,1,0,0,0,1
41,NA,NA,,,,,,,,,,,,,,,,
52,NA,NA,,,,,,,,,,,,,,,,
72,NA,NA,,,,,,,,,,,,,,,,
414,NA,NA,,,,,,,,,,,,,,,,
423,NA,NA,,,,,,,,,,,,,,,,
612,NA,NA,,,,,,,,,,,,,,,,
